Pais;Total;Pilar1;Pilar2;Pilar3
Corea del Sur;0,93;0,31;0,29;0,33
Francia;0,9;0,3;0,31;0,29
Colombia;0,88;0,26;0,32;0,3
Irlanda;0,77;0,26;0,23;0,28
Japón;0,75;0,27;0,22;0,25
Canadá;0,73;0,27;0,24;0,21
Australia;0,72;0,24;0,24;0,25
México;0,71;0,26;0,23;0,22
España;0,7;0,2;0,26;0,23
Grecia;0,7;0,23;0,23;0,23
Eslovenia;0,67;0,26;0,22;0,19
Austria;0,65;0,11;0,32;0,21
Nueva Zelanda;0,65;0,21;0,26;0,18
Holanda;0,65;0,22;0,24;0,19
Polonia;0,63;0,23;0,21;0,19
Noruega;0,63;0,21;0,28;0,14
República Checa;0,61;0,21;0,21;0,19
Italia;0,6;0,22;0,23;0,15
Israel;0,59;0,23;0,23;0,14
Bélgica;0,58;0,19;0,21;0,18
Reino Unido;0,57;0,19;0,24;0,13
Latvia;0,54;0,18;0,19;0,18
Luxemburgo;0,53;0,13;0,24;0,15
Portugal;0,51;0,16;0,27;0,08
Estonia;0,51;0,14;0,27;0,1
Alemania;0,5;0,17;0,27;0,07
Eslovaquia;0,49;0,14;0,22;0,13
Dinamarca;0,49;0,14;0,18;0,16
Finlandia;0,47;0,15;0,24;0,08
Suiza;0,42;0,13;0,17;0,12
Chile;0,41;0,15;0,2;0,07
Suecia;0,38;0,11;0,13;0,14
Lituania;0,35;0,1;0,19;0,05